,TRAN_AMT,ACCT_PRE_TRAN_AVAIL_BAL,CUST_AGE,OPEN_ACCT_CT,WF_dvc_age,PWD_UPDT_TS,CARR_NAME,RGN_NAME,STATE_PRVNC_TXT,ALERT_TRGR_CD,DVC_TYPE_TXT,AUTHC_PRIM_TYPE_CD,AUTHC_SCNDRY_STAT_TXT,CUST_ZIP,CUST_STATE,PH_NUM_UPDT_TS,CUST_SINCE_DT,TRAN_TS,TRAN_DT,FRAUD_NONFRAUD,median_income,mean_income,overall_rank,state,fraud_score,id_theft_rank,fraud_rank,policy rank,AGE,year,month,fraud_hits,alert_counts,fraud_alert_ratio
0,5.38,23619.91,Adult,4,2777,2-3 years,cox communications inc.,southwest,nevada,MOBL,missing,UN_PWD,ALLOW,89002,NV,1 year or Less,1993-01-06,Evening,5/3/2021,Non-Fraud,82778.0,97492.0,4,NV,67.15,13,2,22,47,2021,5,1,3,0.3333333333333333
1,493.12,2538.77,Adult,7,162,Unknown,missing,missing,missing,ONLN,DESKTOP,FACE_ID,ALLOW,89002,NV,Unknown,1990-12-09,Morning,3/6/2021,Fraud,82778.0,97492.0,4,NV,67.15,13,2,22,36,2021,3,1,3,0.3333333333333333
2,99.1,2900.79,Adult,5,1713,1 year or Less,centurylink communications  llc,northeast,new york,ONLN,MOBILE,UN_PWD,ALLOW,89002,NV,2-3 years,1995-12-17,Afternoon,7/24/2021,Non-Fraud,82778.0,97492.0,4,NV,67.15,13,2,22,37,2021,7,1,3,0.3333333333333333
3,0.01,0.0,Senior,3,835,1 year or Less,t-mobile usa  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89822,NV,2-3 years,2001-11-01,Afternoon,8/10/2021,Non-Fraud,77946.0,83435.0,4,NV,67.15,13,2,22,62,2021,8,0,5,0.0
4,19.18,6211.16,Adult,4,432,3-4 years,charter communications inc,south central,texas,ONLN,MOBILE,UN_PWD,CHALLENGE_SUCCESS,89822,NV,Unknown,2014-08-18,Evening,6/1/2021,Non-Fraud,77946.0,83435.0,4,NV,67.15,13,2,22,57,2021,6,0,5,0.0
5,489.67,4177.29,Young Adult,3,940,Unknown,leaseweb usa  inc.,mid atlantic,virginia,ONLN,MOBILE,UN_PWD,ALLOW,89822,NV,2-3 years,1994-06-30,Afternoon,5/13/2021,Non-Fraud,77946.0,83435.0,4,NV,67.15,13,2,22,19,2021,5,0,5,0.0
6,0.01,11070.83,Young Adult,5,2432,2-3 years,comcast cable communications  llc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,89822,NV,2-3 years,2016-12-27,Evening,5/14/2021,Non-Fraud,77946.0,83435.0,4,NV,67.15,13,2,22,22,2021,5,0,5,0.0
7,48.7,547.23,Young Adult,5,1549,3-4 years,missing,missing,missing,ONLN,MOBILE,UN_PWD,ALLOW,89822,NV,1 year or Less,1995-10-28,Afternoon,1/15/2021,Non-Fraud,77946.0,83435.0,4,NV,67.15,13,2,22,21,2021,1,0,5,0.0
8,25.64,161.92,Senior,6,326,1 year or Less,centurylink communications  llc,southwest,arizona,ONLN,DESKTOP,UN_PWD,ALLOW,89121,NV,Unknown,2013-03-12,Afternoon,6/9/2021,Non-Fraud,42530.0,59385.0,4,NV,67.15,13,2,22,67,2021,6,0,10,0.0
9,4.95,11990.58,Senior,2,1076,1 year or Less,t-mobile usa  inc.,south central,texas,MOBL,MOBILE,UN_PWD,ALLOW,89121,NV,Unknown,1985-01-27,Morning,4/3/2021,Non-Fraud,42530.0,59385.0,4,NV,67.15,13,2,22,74,2021,4,0,10,0.0
10,133.8,0.0,Young Adult,6,1636,1 year or Less,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,AFA_PL,ALLOW,89121,NV,Unknown,1995-04-26,Morning,1/27/2021,Non-Fraud,42530.0,59385.0,4,NV,67.15,13,2,22,24,2021,1,0,10,0.0
11,359.84,0.0,Adult,6,1515,1 year or Less,t-mobile usa  inc.,northeast,new york,MOBL,missing,UN_PWD,ALLOW,89121,NV,2-3 years,1991-02-28,Early Morning,1/26/2021,Non-Fraud,42530.0,59385.0,4,NV,67.15,13,2,22,54,2021,1,0,10,0.0
12,9.4,0.0,Senior,67,344,3-4 years,cox communications inc.,southwest,arizona,MOBL,MOBILE,UN_PWD,ALLOW,89121,NV,Unknown,1988-07-25,Evening,4/14/2021,Non-Fraud,42530.0,59385.0,4,NV,67.15,13,2,22,81,2021,4,0,10,0.0
13,0.01,440.23,Senior,5,82,1 year or Less,frontier communications of america  inc.,southwest,california,ONLN,MOBILE,FACE_ID,ALLOW,89121,NV,Unknown,1986-05-10,Early Morning,2/10/2021,Non-Fraud,42530.0,59385.0,4,NV,67.15,13,2,22,66,2021,2,0,10,0.0
14,79.75,0.0,Adult,4,56,2-3 years,t-mobile usa  inc.,south central,texas,ONLN,MOBILE,UN_PWD,ALLOW,89121,NV,Unknown,2002-11-01,Morning,5/28/2021,Non-Fraud,42530.0,59385.0,4,NV,67.15,13,2,22,41,2021,5,0,10,0.0
